故障码,故障描述,故障类型,故障原因,,,桩端上报故障码,故障描述,故障类型,故障原因,处理方案
3018,车位锁电池耗尽故障,设备异常,,,,3073,功率板故障,设备异常,分体整流柜故障（功率板故障）,
3019,车位锁落锁失败故障,设备异常,,,,3074,开关模块故障,设备异常,分体整流柜故障（开关模块故障）,
3020,执行远程功率分配策略失败告警,设备异常,,,,3077,加热故障,设备异常,分体整流柜故障（加热故障）,
3021,交流接触器故障,设备异常,,,,3085,烟雾故障,设备异常,分体整流柜故障（烟雾故障）,
3022,枪头插拔次数告警,设备异常,,,,4009,输出过压,设备异常,输出电压大于充电机最大输出电压,
3023,启动充电超时故障,设备异常,,,,,输出超过车辆允许,设备异常,输出电压超过车辆最高允许充电电压,
3024,启动完成应答失败故障,设备异常,,,,4010,输出过流,设备异常,输出电流大于充电机最大输出电流,
3025,导引板通讯故障,设备异常,,,,4011,输出欠压,设备异常,输出欠压/短路,
3026,灯板通讯故障,设备异常,,,,4013,塑壳/交流断路器,设备异常,塑壳断路器故障,
3027,输出短路故障,设备异常,,,,4014,外侧电压过高,车辆异常,启动充电前直流输出接触器外侧电压大于充电机最大输出电压,
3028,交流设备避雷器故障,设备异常,,,,4015,模块升压异常,设备异常,绝缘阶段或者预充阶段电压达不到特定范围,
3029,烟雾故障,设备异常,,,,4017,输入缺相,设备异常,分体整流柜故障（输入缺相）,
4000,交易记录已满告警,设备异常,,,,4020,交流防雷,设备异常,防雷器故障,
,,,,,,,,,,
,,,,,,5002,BCP报文中电池电压超过最大输出电压,车辆异常,电池端电压大于电池最高允许充电电压,
,,,,,,,BCP报文中电池电压过低,车辆异常,电池端电压小于充电机最小输出电压,
,,,,,,,BCP超时,车辆异常,未收到车辆发送的BCP参数设置报文,
,,,,,,5003,BRO00超时,车辆异常,未收到车辆发送的BRO准备就绪00报文,
,,,,,,,BROAA超时,车辆异常,未收到车辆发送的BRO准备就绪AA报文,
,,,,,,5004,BCS超时,车辆异常,未收到车辆发送的BCS电池充电总状态报文,
4001,输入电源故障（过压、过流、欠压，跳闸）,设备异常,,,,5005,BCL超时,车辆异常,未收到车辆发送的BCL电池充电需求报文,
4002,交流断路器故障,设备异常,,,,5009,BROAA时序故障,车辆异常,CRO阶段收到BMS发送的00报文,
4003,交流设备检测点电压检测故障,设备异常,,,,5010,最高允许低于额定最低电压,车桩不匹配,最高允许电压低于额定最低电压,
4004,输入缺相告警,设备异常,,,,5011,BRM超时,车辆异常,未收到车辆发送的BRM辨识报文,
4005,漏电保护故障,设备异常,,,,5018,BSM报文禁止充电超过10min,车辆异常,BSM发送暂停充电报文超过10min,
4006,地线故障,设备异常,,,,5019,单体过压保护,车辆异常,BCS单体电压超过限值,
4007,交流防雷故障,设备异常,,,,5021,整车动力蓄电池SOC异常,车辆异常,BSM车辆状态信息报文异常（整车动力蓄电池SOC异常）,
5000,三相不平衡告警,车辆异常,,,,5023,电流异常,车辆异常,BSM车辆状态信息报文异常（电流异常）,
3030,车辆占位超时告警,设备异常,,,,5024,温度异常,车辆异常,BSM车辆状态信息报文异常（温度异常）,
3031,设备自检超时故障,设备异常,,,,5024,单体过温保护,车辆异常,BSM单体过温保护,
3032,桩离线故障,设备异常,,,,5025,绝缘状态异常,车辆异常,BSM车辆状态信息报文异常（绝缘状态异常）,
3033,柜门被打开故障,设备异常,,,,5026,输出连接器连接状态异常,车辆异常,BSM车辆状态信息报文异常（输出连接器连接状态异常）,
3034,（非检修状态）,设备异常,,,,5029,电池电压异常,车辆异常,"电池电压异常,不在充电机电压范围内",
3035,直流设备急停按键被按下故障,设备异常,,,,,单体动力蓄电池电压异常,车辆异常,BSM车辆状态信息报文异常（单体动力蓄电池电压异常）,
3036,系统风扇故障,设备异常,,,,,,,,
3037,模块风扇故障,设备异常,,,,,,,,
3038,充电枪未归位告警,设备异常,,,,,,,,
3039,直流设备读卡器异常故障,设备异常,,,,,,,,
3040,模块通讯故障,设备异常,,,,,,,,
3041,电源模块地址冲突故障,设备异常,,,,,,,,
3042,电源模块故障,设备异常,,,,,,,,
3043,电源模块过温告警,设备异常,,,,,,,,
3044,无空闲模块可用,设备异常,,,,,,,,
3045,（限智能分配功率）,设备异常,,,,,,,,
3046,电表通讯故障,设备异常,,,,,,,,
3047,电表数据异常故障,设备异常,,,,,,,,
3048,输出接触器粘连故障,设备异常,,,,,,,,
3049,直流接触器故障,设备异常,,,,,,,,
3050,直流熔断器故障,设备异常,,,,,,,,
3051,中间继电器故障,设备异常,,,,,,,,
3052,辅助电源故障,设备异常,,,,,,,,
3053,绝缘监测故障,设备异常,,,,,,,,
3054,泄放回路故障,设备异常,,,,,,,,
3055,过温告警,设备异常,,,,,,,,
3056,充电接口过温告警,设备异常,,,,,,,,
3057,设备充电接口电子锁故障,设备异常,,,,,,,,
3058,水浸故障,设备异常,,,,,,,,
3059,内部通讯故障,设备异常,,,,,,,,
3060,直流设备充电连接故障,设备异常,,,,,,,,
3061,枪口异常故障,设备异常,,,,,,,,
3062,车位锁故障,设备异常,,,,,,,,
3063,车位锁电池耗尽故障,设备异常,,,,,,,,
3064,车位锁落锁失败故障,设备异常,,,,,,,,
3065,指令要求终止的订单号不存在或者和目标充电口当前订单不一致,设备异常,,,,,,,,
3066,执行远程功率,设备异常,,,,,,,,
3067,分配策略失败告警,设备异常,,,,,,,,
3068,充电设备暂停使用,设备异常,,,,,,,,
3069,交流接触器故障,设备异常,,,,,,,,
3070,枪头插拔次数告警,设备异常,,,,,,,,
3071,自检功率分配超时告警,设备异常,,,,,,,,
3072,母联粘连故障,设备异常,,,,,,,,
3073,预充完成超时故障,设备异常,,,,,,,,
3074,启动充电超时,设备异常,,,,,,,,
3075,启动完成应答失败故障,设备异常,,,,,,,,
3076,模块开机超时故障,设备异常,,,,,,,,
3077,功率控制模块故障,设备异常,,,,,,,,
3078,开关模块故障,设备异常,,,,,,,,
3079,计费控制单元通讯故障,设备异常,,,,,,,,
3080,环境监控板通讯故障,设备异常,,,,,,,,
3081,空调通讯故障,设备异常,,,,,,,,
3082,无源开出盒通讯故障,设备异常,,,,,,,,
3083,无源开入盒通讯故障,设备异常,,,,,,,,
3084,绝缘采样盒通讯故障,设备异常,,,,,,,,
3085,直流采样盒通讯故障,设备异常,,,,,,,,
3086,导引板通讯故障,设备异常,,,,,,,,
4008,灯板通讯故障,设备异常,,,,,,,,
4009,直流设备避雷器故障,设备异常,,,,,,,,
4010,烟雾故障,设备异常,,,,,,,,
4011,交易记录已满告警,设备异常,,,,,,,,
4012,输入电源故障（过压、过流、欠,设备异常,,,,,,,,
4013,压，跳闸）,设备异常,,,,,,,,
4014,输出电压过压故障,设备异常,,,,,,,,
4015,输出电压过流故障,设备异常,,,,,,,,
4016,输出电压欠压故障,设备异常,,,,,,,,
4017,输出短路故障,设备异常,,,,,,,,
4018,交流断路器故障,设备异常,,,,,,,,
4019,接触器外侧电压大于 10v,设备异常,,,,,,,,
4020,直流设备检测点电压检测故障,设备异常,,,,,,,,
4021,桩群电容量超过额定限制故障,设备异常,,,,,,,,
4022,输入缺相告警,设备异常,,,,,,,,
4023,漏电保护故障,设备异常,,,,,,,,
5001,BMS 通讯异常,车辆异常,,,,,,,,
5002,BCP 充电参数配置报文超时,车辆异常,,,,,,,,
5003,BRO 充电准备就绪报文超时,车辆异常,,,,,,,,
5004,BCS 电池充电状态报文超时,车辆异常,,,,,,,,
5005,BCL 电池充电需求报文超时,车辆异常,,,,,,,,
5006,BST 中止充电报文超时,车辆异常,,,,,,,,
5007,BSD 充电统计数据报文超时,车辆异常,,,,,,,,
5008,BSM 动力蓄电池状态报文超时,车辆异常,,,,,,,,
5009,BRO 重大故障停止充电,车辆异常,,,,,,,,
5010,BHM 桩的输出能力不匹配,车辆异常,,,,,,,,
5011,BRM 车辆辨识报文超时,车辆异常,,,,,,,,
5012,BEM 充电错误报文超时,车辆异常,,,,,,,,
5013,BMS 需求电压过低/过高,车辆异常,,,,,,,,
5014,BMS 绝缘故障,车辆异常,,,,,,,,
5015,BMS 元件过温,车辆异常,,,,,,,,
5016,BMS 电压过高,车辆异常,,,,,,,,
5017,BMS 预充电压不匹配,车辆异常,,,,,,,,
5018,BMS 其他故障,车辆异常,,,,,,,,
5019,单体动力蓄电池电压过高,车辆异常,,,,,,,,
5020,单体动力蓄电池电压过低,车辆异常,,,,,,,,
5021,整车动力蓄电池荷电状态 SOC 过高,车辆异常,,,,,,,,
5022,整车动力蓄电池荷电状态 SOC 过低,车辆异常,,,,,,,,
5023,动力蓄电池充电过流,车辆异常,,,,,,,,
5024,动力蓄电池温度过高,车辆异常,,,,,,,,
5025,动力蓄电池绝缘故障,车辆异常,,,,,,,,
5026,动力蓄电池连接器故障,车辆异常,,,,,,,,
5027,电池反接,车辆异常,,,,,,,,
5028,电池欠压,车辆异常,,,,,,,,
5029,电池电压异常,车辆异常,,,,,,,,
5030,CRO 充电机输出就绪超时,车辆异常,,,,,,,,
5031,CCS 充电机状态报文超时,车辆异常,,,,,,,,
5032,CST 充电机终止充电报文超时,车辆异常,,,,,,,,
5033,CSD 充电统计数据报文超时,车辆异常,,,,,,,,
5034,车辆电流不匹配,车辆异常,,,,,,,,
5035,车辆电量无法传送,车辆异常,,,,,,,,
5036,车辆占位超时告警,车辆异常,,,,,,,,
5037,新老国标探测超时，此为车辆故障。,车辆异常,,,,,,,,
5038,BMS异常停止,车辆异常,,,,,,,,
1011,BMS停止充电,常规停止,,,,,,,,
999,其他,常规停止,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
